"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023								
X_MM	Fi	Diameter	UpPointY_PX	DownPointY_PX			Dср	157,626721
3	147	159,428	776	822				
4	147	158,975	776	822				
5	147	158,903	776	822				
6	147	158,796	776	822				
0	148	158,76	776	822				
1	148	158,784	776	822				
2	148	158,7	776	822				
3	148	158,282	776	821				
4	148	157,888	775	821				
5	148	158,998	775	821				
6	148	158,819	775	821				
0	149	155,811	776	821				
1	149	156,909	775	821				
2	149	158,784	775	822				
3	149	159,249	775	821				
4	149	158,879	775	821				
5	149	158,628	775	821				
6	149	156,909	774	820				
0	150	158,772	775	821				
1	150	156,838	775	821				
2	150	156,253	774	821				
3	150	159,691	774	820				
4	150	158,963	774	820				
5	150	158,831	774	820				
6	150	158,784	774	820				
0	151	155,704	775	820				
1	151	157,816	774	820				
2	151	158,784	774	821				
3	151	159,178	774	820				
4	151	158,867	774	820				
5	151	158,33	774	819				
6	151	157,279	773	819				
0	152	158,593	774	820				
1	152	156,766	774	820				
2	152	156,133	774	820				
3	152	159,619	773	819				
4	152	158,963	773	819				
5	152	158,7	773	819				
6	152	158,796	773	819				
0	153	158,76	773	819				
1	153	158,724	773	819				
2	153	158,736	773	820				
3	153	158,867	772	818				
4	153	158,975	772	818				
5	153	158,712	772	818				
6	153	158,819	772	818				
0	154	158,449	772	818				
1	154	158,736	772	818				
2	154	158,76	772	819				
3	154	159,034	772	818				
4	154	158,724	772	818				
5	154	159,081	771	817				
6	154	158,819	771	817				
0	155	157,745	772	818				
1	155	156,408	772	818				
2	155	156,289	772	819				
3	155	159,511	771	817				
4	155	159,01	771	817				
5	155	158,7	771	817				
6	155	158,807	771	817				
0	156	155,525	772	817				
1	156	156,909	771	817				
2	156	158,795	771	819				
3	156	159,404	771	817				
4	156	158,855	771	817				
5	156	158,652	771	817				
6	156	158,603	770	816				
0	157	155,716	771	816				
1	157	155,978	771	817				
2	157	156,014	771	818				
3	157	159,714	770	816				
4	157	159,01	770	816				
5	157	158,7	770	816				
6	157	158,807	770	816				
0	158	156,121	770	816				
1	158	156,551	770	816				
2	158	157,315	770	818				
3	158	158,795	769	815				
4	158	159,094	769	815				
5	158	158,748	769	815				
6	158	158,831	769	815				
0	159	158,258	769	815				
1	159	158,688	769	815				
2	159	158,772	769	817				
3	159	158,819	769	815				
4	159	158,389	768	815				
5	159	159,309	768	814				
6	159	158,855	768	814				
0	160	157,1	769	815				
1	160	157,781	769	815				
2	160	158,628	769	817				
3	160	158,425	768	814				
4	160	159,261	768	815				
5	160	158,867	768	814				
6	160	158,843	768	814				
0	161	158,449	768	814				
1	161	158,796	768	814				
2	161	158,807	768	817				
3	161	159,273	768	814				
4	161	158,712	768	814				
5	161	158,567	767	813				
6	161	158,879	767	813				
0	162	155,548	767	813				
1	162	157,745	767	813				
2	162	158,843	767	816				
3	162	159,452	767	813				
4	162	158,843	767	813				
5	162	158,354	767	813				
6	162	158,401	766	812				
0	163	158,007	767	813				
1	163	158,784	767	813				
2	163	158,676	767	815				
3	163	158,317	766	812				
4	163	159,357	766	813				
5	163	159,165	766	812				
6	163	158,843	766	812				
0	164	158,628	766	812				
1	164	158,807	766	812				
2	164	158,795	766	814				
3	164	159,034	766	812				
4	164	159,392	765	812				
5	164	159,559	765	811				
6	164	158,867	765	811				
0	165	156,133	766	811				
1	165	157,446	765	812				
2	165	159,01	765	813				
3	165	159,583	765	811				
4	165	158,939	765	811				
5	165	158,712	765	811				
6	165	158,961	764	810				
0	166	153,397	765	811				
1	166	158,043	764	811				
2	166	158,975	764	812				
3	166	159,595	764	810				
4	166	158,939	764	810				
5	166	158,378	764	810				
6	166	158,699	763	809				
0	167	158,796	764	810				
1	167	158,807	764	810				
2	167	158,628	764	812				
3	167	159,069	763	809				
4	167	159,249	763	810				
5	167	159,297	763	809				
6	167	158,855	763	809				
0	168	158,939	764	810				
1	168	157,983	763	810				
2	168	159,034	763	811				
3	168	159,679	763	809				
4	168	158,986	763	809				
5	168	158,748	763	809				
6	168	159,021	762	808				
0	169	158,784	762	808				
1	169	158,831	762	808				
2	169	158,807	762	809				
3	169	159,5	762	807				
4	169	158,914	761	808				
5	169	159,44	761	807				
6	169	158,855	761	807				
0	170	159,356	761	807				
1	170	158,998	761	807				
2	170	158,843	761	809				
3	170	159,667	761	807				
4	170	158,855	761	807				
5	170	157,923	760	806				
6	170	158,891	760	806				
0	171	159,44	761	807				
1	171	158,939	761	807				
2	171	158,843	761	809				
3	171	159,727	761	807				
4	171	158,843	761	807				
5	171	158,114	760	806				
6	171	158,831	760	806				
0	172	159,356	760	806				
1	172	158,843	760	806				
2	172	158,807	760	808				
3	172	159,75	760	806				
4	172	158,772	760	806				
5	172	158,592	759	805				
6	172	158,819	759	805				
0	173	159,213	759	805				
1	173	158,795	759	805				
2	173	158,795	759	808				
3	173	159,786	759	805				
4	173	158,497	759	805				
5	173	159,129	758	804				
6	173	158,784	758	804				
0	174	158,903	758	804				
1	174	158,772	758	804				
2	174	158,784	758	808				
3	174	159,75	758	804				
4	174	159,188	757	803				
5	174	159,321	757	803				
6	174	158,76	757	803				
0	175	158,939	758	804				
1	175	158,772	758	804				
2	175	158,772	758	808				
3	175	161,361	757	804				
4	175	159,404	757	803				
5	175	158,963	757	803				
6	175	158,736	757	803				
0	176	158,939	757	803				
1	176	158,772	757	803				
2	176	158,724	757	803				
3	176	161,039	756	803				
4	176	159,452	756	802				
5	176	158,975	756	802				
6	176	158,7	756	802				
0	177	159,152	756	802				
1	177	158,748	756	802				
2	177	158,712	756	803				
3	177	160,061	756	802				
4	177	158,246	756	801				
5	177	159,451	755	801				
6	177	158,736	755	801				
0	178	159,058	756	802				
1	178	158,772	756	802				
2	178	158,736	756	802				
3	178	161,636	755	802				
4	178	159,38	755	801				
5	178	158,975	755	801				
6	178	158,7	755	801				
0	179	159,082	755	801				
1	179	158,796	755	801				
2	179	158,76	755	801				
3	179	161,218	754	801				
4	179	159,333	754	800				
5	179	158,987	754	800				
6	179	158,7	754	800				
0	180	159,309	755	801				
1	180	158,663	754	800				
2	180	158,425	754	800				
3	180	160,455	754	800				
4	180	159,094	754	800				
5	180	158,998	754	800				
6	180	158,818	753	799				
0	181	159,321	754	800				
1	181	158,998	754	799				
2	181	158,33	753	799				
3	181	160,646	753	799				
4	181	159,166	753	799				
5	181	158,819	753	799				
6	181	159,176	752	798				
0	182	159,118	753	799				
1	182	158,772	753	799				
2	182	158,724	753	799				
3	182	160,216	752	799				
4	182	159,536	752	798				
5	182	158,819	752	798				
6	182	158,7	752	798				
0	183	159,166	752	798				
1	183	158,879	752	798				
2	183	158,831	752	798				
3	183	160,561	751	798				
4	183	159,404	751	797				
5	183	158,807	751	797				
6	183	158,7	751	797				
0	184	157,78	752	797				
1	184	158,019	751	797				
2	184	158,7	751	797				
3	184	160,323	751	797				
4	184	158,628	751	796				
5	184	158,664	750	796				
6	184	158,7	750	796				
0	185	159,321	751	797				
1	185	158,066	751	796				
2	185	158,748	750	796				
3	185	160,574	750	796				
4	185	158,998	750	796				
5	185	158,079	750	795				
6	185	158,64	749	795				
0	186	159,046	750	796				
1	186	158,891	750	796				
2	186	158,688	750	796				
3	186	160,024	749	795				
4	186	159,345	749	795				
5	186	158,807	749	795				
6	186	158,688	749	795				
0	187	157,924	749	795				
1	187	158,772	749	795				
2	187	158,7	749	795				
3	187	160,216	749	794				
4	187	159,081	748	794				
5	187	158,819	748	794				
6	187	158,7	748	794				
0	188	159,333	749	795				
1	188	158,628	749	794				
2	188	158,354	748	794				
3	188	160,693	748	794				
4	188	158,939	748	794				
5	188	157,625	747	793				
6	188	158,712	747	793				
0	189	158,03	748	793				
1	189	158,485	747	793				
2	189	158,724	747	793				
3	189	160,467	747	793				
4	189	158,938	746	792				
5	189	158,831	746	792				
6	189	158,7	746	792				
0	190	158,951	747	793				
1	190	158,927	747	793				
2	190	158,64	747	793				
3	190	160,537	746	792				
4	190	159,154	746	792				
5	190	158,784	746	792				
6	190	157,828	745	791				
0	191	157,78	746	792				
1	191	158,772	746	792				
2	191	158,736	746	792				
3	191	159,738	746	791				
4	191	158,974	745	791				
5	191	158,807	745	791				
6	191	158,7	745	791				
0	192	157,887	746	791				
1	192	158,461	745	791				
2	192	158,772	745	791				
3	192	160,55	745	791				
4	192	158,436	744	790				
5	192	158,867	744	790				
6	192	158,712	744	790				
0	193	157,708	744	790				
1	193	158,748	744	790				
2	193	158,772	744	790				
3	193	160,192	744	789				
4	193	158,639	743	789				
5	193	158,819	743	789				
6	193	158,7	743	789				
0	194	159,201	744	790				
1	194	158,951	744	790				
2	194	156,861	744	789				
3	194	160,896	743	789				
4	194	158,927	743	789				
5	194	158,664	743	788				
6	194	157,697	742	788				
0	195	159,273	743	789				
1	195	158,401	743	788				
2	195	158,043	742	788				
3	195	160,705	742	788				
4	195	158,879	742	788				
5	195	157,434	742	787				
6	195	158,664	741	787				
0	196	157,661	742	788				
1	196	158,772	742	788				
2	196	158,819	742	788				
3	196	159,858	742	787				
4	196	158,532	741	787				
5	196	158,891	741	787				
6	196	158,712	741	787				
0	197	159,106	741	787				
1	197	158,807	741	787				
2	197	158,103	741	786				
3	197	160,597	740	786				
4	197	158,975	740	786				
5	197	158,867	740	786				
6	197	157,625	740	785				
0	198	158,807	741	786				
1	198	157,351	740	786				
2	198	158,843	740	786				
3	198	160,61	740	786				
4	198	158,019	740	785				
5	198	157,816	739	785				
6	198	158,748	739	785				
0	199	158,162	739	785				
1	199	158,509	739	785				
2	199	158,843	739	785				
3	199	160,538	739	785				
4	199	157,255	738	784				
5	199	158,927	738	784				
6	199	158,76	738	784				
0	200	159,118	739	785				
1	200	158,628	739	784				
2	200	158,127	738	784				
3	200	160,646	738	784				
4	200	158,724	738	784				
5	200	158,21	738	783				
6	200	157,518	737	783				
0	201	159,046	738	784				
1	201	158,784	738	784				
2	201	157,792	738	783				
3	201	160,562	737	783				
4	201	158,891	737	783				
5	201	158,915	737	783				
6	201	157,1	736	782				
0	202	159,118	737	783				
1	202	158,784	737	783				
2	202	157,995	737	782				
3	202	160,55	736	782				
4	202	158,879	736	782				
5	202	159,034	736	782				
6	202	156,969	736	781				
0	203	158,831	736	782				
1	203	158,76	736	782				
2	203	158,867	736	782				
3	203	159,595	736	781				
4	203	158,365	735	781				
5	203	158,927	735	781				
6	203	158,748	735	781				
0	204	159,106	736	782				
1	204	158,784	736	782				
2	204	158,688	736	781				
3	204	160,108	735	781				
4	204	158,915	735	781				
5	204	159,022	735	781				
6	204	158,342	735	780				
0	205	159,082	735	781				
1	205	158,521	735	780				
2	205	158,27	734	780				
3	205	160,264	734	780				
4	205	158,593	734	780				
5	205	158,604	734	779				
6	205	157,183	733	779				
0	206	159,046	734	780				
1	206	158,736	734	780				
2	206	158,903	734	780				
3	206	159,165	734	779				
4	206	158,186	733	779				
5	206	159,034	733	779				
6	206	158,76	733	779				
0	207	158,748	733	779				
1	207	158,736	733	779				
2	207	158,831	733	779				
3	207	159,798	733	778				
4	207	156,551	732	778				
5	207	158,998	732	778				
6	207	158,748	732	778				
0	208	157,506	733	778				
1	208	157,804	732	778				
2	208	158,843	732	778				
3	208	159,977	732	778				
4	208	158,509	732	778				
5	208	156,205	732	777				
6	208	158,234	731	777				
0	209	158,449	732	778				
1	209	158,724	732	778				
2	209	158,855	732	778				
3	209	160,013	732	778				
4	209	156,778	732	777				
5	209	157,649	731	777				
6	209	158,76	731	777				
0	210	157,387	731	777				
1	210	158,676	731	777				
2	210	158,855	731	777				
3	210	159,715	731	777				
4	210	158,198	731	776				
5	210	156,217	731	776				
6	210	158,294	730	776				
0	211	157,1	730	776				
1	211	158,64	730	776				
2	211	158,855	730	776				
3	211	159,655	730	776				
4	211	157,578	730	775				
5	211	156,766	729	775				
6	211	158,748	729	775				
0	212	158,903	730	776				
1	212	158,461	730	776				
2	212	156,336	730	775				
3	212	159,225	729	775				
4	212	158,724	729	775				
5	212	159,166	729	775				
6	212	157,745	729	774				
0	213	156,933	730	775				
1	213	156,527	729	775				
2	213	158,772	729	775				
3	213	159,595	729	775				
4	213	158,7	729	775				
5	213	157,04	729	774				
6	213	156,646	728	774				
0	214	158,939	728	774				
1	214	158,7	728	774				
2	214	158,843	728	774				
3	214	157,936	728	773				
4	214	156,121	727	773				
5	214	158,998	727	773				
6	214	158,784	727	773				
0	215	158,867	727	773				
1	215	158,748	727	773				
2	215	157,327	727	772				
3	215	157,065	727	772				
4	215	157,171	726	772				
5	215	159,106	726	772				
6	215	158,831	726	772				
0	216	156,408	727	772				
1	216	157,96	726	772				
2	216	158,831	726	772				
3	216	159,416	726	772				
4	216	158,7	726	772				
5	216	157,673	726	771				
6	216	155,596	726	771				
0	217	158,819	726	772				
1	217	158,664	726	772				
2	217	156,682	726	771				
3	217	156,909	726	771				
4	217	156,825	725	771				
5	217	159,082	725	771				
6	217	158,867	725	771				
0	218	158,807	725	771				
1	218	158,7	725	771				
2	218	158,796	725	771				
3	218	158,33	725	770				
4	218	155,369	725	770				
5	218	157,196	724	770				
6	218	158,76	724	770				
0	219	157,518	725	770				
1	219	155,465	725	770				
2	219	157,1	724	770				
3	219	159,333	724	770				
4	219	158,7	724	770				
5	219	159,261	724	770				
6	219	156,527	724	769				
0	220	158,796	724	770				
1	220	157,852	724	769				
2	220	155,859	724	769				
3	220	157,22	723	769				
4	220	158,163	723	769				
5	220	159,189	723	769				
6	220	158,736	723	768				
0	221	155,572	724	769				
1	221	158,413	723	769				
2	221	158,748	723	769				
3	221	159,392	723	769				
4	221	158,688	723	769				
5	221	156,587	723	768				
6	221	155,704	723	768				
0	222	158,533	722	768				
1	222	158,7	722	768				
2	222	158,736	722	768				
3	222	159,189	722	767				
4	222	156,002	722	767				
5	222	156,372	722	767				
6	222	157,936	721	767				
0	223	158,736	722	768				
1	223	158,437	722	768				
2	223	155,918	722	767				
3	223	157,16	722	767				
4	223	157,172	721	767				
5	223	159,261	721	767				
6	223	158,843	721	767				
0	224	155,441	721	767				
1	224	158,055	721	767				
2	224	158,712	721	767				
3	224	159,548	721	767				
4	224	158,7	721	767				
5	224	157,947	721	766				
6	224	155,751	721	766				
0	225	155,322	721	766				
1	225	155,489	721	766				
2	225	158,163	720	766				
3	225	159,595	720	766				
4	225	158,7	720	766				
5	225	159,106	720	766				
6	225	155,883	720	765				
0	226	158,7	720	766				
1	226	158,676	720	765				
2	226	156,348	720	765				
3	226	157,458	720	765				
4	226	155,572	720	765				
5	226	159,118	719	765				
6	226	158,843	719	765				
0	227	157,745	719	765				
1	227	158,688	719	765				
2	227	158,7	719	765				
3	227	159,464	719	765				
4	227	155,871	719	764				
5	227	156,48	719	764				
6	227	156,861	718	764				
0	228	158,342	719	764				
1	228	155,608	719	764				
2	228	155,632	719	764				
3	228	157,447	719	764				
4	228	156,993	718	764				
5	228	159,333	718	764				
6	228	158,855	718	764				
0	229	156,3	718	764				
1	229	157,84	718	764				
2	229	158,712	718	764				
3	229	159,643	718	764				
4	229	157,948	718	763				
5	229	156,336	718	763				
6	229	155,799	718	763				
0	230	155,25	718	763				
1	230	155,441	718	763				
2	230	157,685	717	763				
3	230	159,81	717	763				
4	230	158,7	717	763				
5	230	158,867	717	763				
6	230	155,907	717	762				
0	231	158,497	717	763				
1	231	158,652	717	763				
2	231	158,76	717	763				
3	231	159,428	717	763				
4	231	155,978	717	762				
5	231	156,372	717	762				
6	231	155,883	717	762				
0	232	158,163	716	762				
1	232	158,628	716	762				
2	232	158,772	716	762				
3	232	159,607	716	762				
4	232	156,969	716	761				
5	232	156,277	716	761				
6	232	155,775	716	761				
0	233	158,7	716	762				
1	233	157,148	716	761				
2	233	155,668	716	761				
3	233	157,482	716	761				
4	233	155,632	716	761				
5	233	157,602	716	761				
6	233	158,712	715	761				
0	234	156,348	715	761				
1	234	158,593	715	761				
2	234	158,784	715	761				
3	234	159,691	715	761				
4	234	158,258	715	760				
5	234	156,253	715	760				
6	234	155,859	715	760				
0	235	158,7	715	761				
1	235	157,781	715	760				
2	235	155,763	715	760				
3	235	157,446	715	760				
4	235	155,632	715	760				
5	235	156,814	715	760				
6	235	157,864	714	760				
0	236	155,632	715	760				
1	236	158,449	714	760				
2	236	158,784	714	760				
3	236	159,739	714	760				
4	236	158,688	714	760				
5	236	156,468	714	759				
6	236	155,823	714	759				
0	237	158,676	714	760				
1	237	156,814	714	759				
2	237	155,62	714	759				
3	237	157,184	714	759				
4	237	155,692	714	759				
5	237	156,778	714	759				
6	237	157,709	713	759				
0	238	155,393	714	759				
1	238	157,685	713	759				
2	238	158,76	713	759				
3	238	159,739	713	759				
4	238	158,724	713	759				
5	238	157,637	713	758				
6	238	155,942	713	758				
0	239	158,7	713	759				
1	239	158,7	713	759				
2	239	158,354	713	758				
3	239	157,888	713	758				
4	239	155,572	713	758				
5	239	156,145	713	758				
6	239	155,811	713	758				
0	240	155,25	713	758				
1	240	155,334	713	758				
2	240	155,572	713	758				
3	240	156,981	713	758				
4	240	158,306	712	758				
5	240	159,106	712	758				
6	240	158,736	712	758				
0	241	158,652	712	758				
1	241	156,372	712	757				
2	241	155,584	712	757				
3	241	157,076	712	757				
4	241	155,584	712	757				
5	241	156,193	712	757				
6	241	156,193	711	757				
0	242	155,25	712	757				
1	242	155,322	712	757				
2	242	155,584	712	757				
3	242	156,874	712	757				
4	242	157,148	711	757				
5	242	158,879	711	757				
6	242	158,76	711	757				
0	243	155,262	712	757				
1	243	155,31	712	757				
2	243	155,584	712	757				
3	243	156,85	712	757				
4	243	157,685	711	757				
5	243	159,01	711	757				
6	243	158,76	711	757				
0	244	158,7	711	757				
1	244	158,7	711	757				
2	244	158,843	711	757				
3	244	159,213	711	757				
4	244	157,088	711	756				
5	244	156,026	711	756				
6	244	155,763	711	756				
0	245	155,298	711	756				
1	245	155,286	711	756				
2	245	155,56	711	756				
3	245	156,838	711	756				
4	245	155,608	711	756				
5	245	156,205	711	756				
6	245	156,993	710	756				
0	246	155,286	711	756				
1	246	155,417	710	756				
2	246	155,918	710	756				
3	246	158,007	711	756				
4	246	158,676	710	756				
5	246	159,034	710	756				
6	246	158,497	710	756				
0	247	156,647	710	756				
1	247	157,924	710	756				
2	247	158,616	710	756				
3	247	159,703	710	756				
4	247	158,748	710	756				
5	247	158,784	710	756				
6	247	157,052	710	755				
0	248	155,25	710	755				
1	248	155,274	710	755				
2	248	155,584	710	755				
3	248	156,694	710	755				
4	248	155,537	710	755				
5	248	155,919	710	755				
6	248	155,656	709	755				
0	249	155,907	709	755				
1	249	156,981	709	755				
2	249	158,294	709	755				
3	249	159,548	709	755				
4	249	158,76	709	755				
5	249	158,927	709	755				
6	249	157,506	709	754				
0	250	158,055	709	755				
1	250	155,704	709	754				
2	250	155,751	709	754				
3	250	156,706	709	754				
4	250	155,668	709	754				
5	250	155,668	709	754				
6	250	155,429	709	754				
0	251	157,876	709	755				
1	251	155,727	709	754				
2	251	155,716	709	754				
3	251	156,575	709	754				
4	251	155,668	709	754				
5	251	155,68	709	754				
6	251	155,429	709	754				
0	252	155,286	709	754				
1	252	155,489	708	754				
2	252	156,241	709	754				
3	252	157,255	708	754				
4	252	158,031	708	754				
5	252	158,927	708	754				
6	252	158,7	708	754				
0	253	158,664	708	754				
1	253	158,7	708	754				
2	253	158,843	708	754				
3	253	158,951	708	753				
4	253	156,909	708	753				
5	253	155,883	708	753				
6	253	155,716	708	753				
0	254	155,262	708	753				
1	254	155,274	708	753				
2	254	155,525	708	753				
3	254	156,289	708	753				
4	254	155,477	708	753				
5	254	155,608	708	753				
6	254	155,369	707	753				
0	255	155,25	708	753				
1	255	155,369	707	753				
2	255	155,632	708	753				
3	255	156,026	708	753				
4	255	155,453	708	753				
5	255	155,835	708	753				
6	255	157,805	707	753				
0	256	156,193	707	753				
1	256	158,199	707	753				
2	256	158,533	707	753				
3	256	159,154	707	753				
4	256	158,724	707	753				
5	256	158,748	707	753				
6	256	158,175	707	753				
0	257	156,109	707	752				
1	257	155,31	707	752				
2	257	155,525	707	752				
3	257	156,217	707	752				
4	257	155,429	707	752				
5	257	155,501	707	752				
6	257	155,298	707	752				
0	258	155,226	707	752				
1	258	155,298	707	752				
2	258	155,465	707	752				
3	258	155,919	707	752				
4	258	155,393	707	752				
5	258	155,417	707	752				
6	258	155,441	706	752				
0	259	155,25	707	752				
1	259	155,369	707	752				
2	259	155,465	707	752				
3	259	155,763	707	752				
4	259	155,441	707	752				
5	259	155,465	707	752				
6	259	156,957	706	752				
0	260	157,136	706	752				
1	260	158,437	706	752				
2	260	158,533	706	752				
3	260	158,987	706	752				
4	260	158,593	706	752				
5	260	158,222	706	752				
6	260	156,635	706	751				
0	261	156,551	706	752				
1	261	157,59	706	752				
2	261	157,888	706	752				
3	261	158,915	706	752				
4	261	158,676	706	752				
5	261	158,604	706	752				
6	261	157,733	706	751				
0	262	156,802	706	751				
1	262	157,721	706	752				
2	262	157,339	706	752				
3	262	156,945	706	752				
4	262	155,644	706	751				
5	262	155,739	706	751				
6	262	155,31	706	751				
0	263	153,185	706	751				
1	263	155,286	706	751				
2	263	155,393	706	751				
3	263	155,728	706	751				
4	263	155,262	706	751				
5	263	155,465	706	751				
6	263	155,25	706	751				
0	264	153,435	706	751				
1	264	155,357	706	751				
2	264	155,31	706	751				
3	264	155,537	706	751				
4	264	155,274	706	751				
5	264	155,31	706	751				
6	264	155,393	706	751				
0	265	153,77	706	751				
1	265	155,262	706	751				
2	265	155,334	706	751				
3	265	155,525	706	751				
4	265	155,262	706	751				
5	265	155,322	706	751				
6	265	155,31	706	751				
0	266	154,617	706	751				
1	266	155,429	706	751				
2	266	155,334	706	751				
3	266	155,381	706	751				
4	266	155,334	706	751				
5	266	155,429	706	751				
6	266	157,041	705	751				
0	267	155,333	706	751				
1	267	155,954	706	751				
2	267	156,086	706	751				
3	267	156,217	705	751				
4	267	158,163	705	751				
5	267	158,473	705	751				
6	267	158,473	705	751				
0	268	153,424	705	750				
1	268	154,713	705	750				
2	268	155,357	705	750				
3	268	155,525	705	750				
4	268	155,25	705	750				
5	268	155,393	705	750				
6	268	155,357	705	750				
0	269	153,495	705	750				
1	269	154,892	705	750				
2	269	155,346	705	750				
3	269	155,513	705	750				
4	269	155,25	705	750				
5	269	155,393	705	750				
6	269	155,369	705	750				
0	270	154,832	705	750				
1	270	155,357	705	750				
2	270	155,334	705	750				
3	270	155,322	705	750				
4	270	155,25	705	750				
5	270	155,334	705	750				
6	270	155,429	705	750				
0	271	155,31	705	750				
1	271	155,405	705	750				
2	271	155,334	705	750				
3	271	155,369	705	750				
4	271	155,31	705	750				
5	271	155,405	705	750				
6	271	155,751	704	750				
0	272	155,25	705	750				
1	272	155,369	705	750				
2	272	155,334	705	750				
3	272	155,298	705	750				
4	272	155,274	705	750				
5	272	155,393	705	750				
6	272	155,656	705	750				
0	273	155,25	705	750				
1	273	155,357	705	750				
2	273	155,357	705	750				
3	273	155,322	705	750				
4	273	155,286	705	750				
5	273	155,369	705	750				
6	273	155,596	705	750				
0	274	155,357	705	750				
1	274	155,441	705	750				
2	274	155,346	705	750				
3	274	155,429	705	750				
4	274	155,441	705	750				
5	274	155,489	705	750				
6	274	155,811	705	750				
0	275	155,322	705	750				
1	275	155,405	705	750				
2	275	155,346	705	750				
3	275	155,405	705	750				
4	275	155,381	705	750				
5	275	155,465	705	750				
6	275	155,763	705	750				
0	276	156,862	705	750				
1	276	157,231	704	750				
2	276	157,542	704	750				
3	276	157,84	704	750				
4	276	158,031	704	750				
5	276	157,697	705	750				
6	276	158,008	705	750				
0	277	155,489	705	750				
1	277	155,513	705	750				
2	277	155,357	705	750				
3	277	155,441	705	750				
4	277	155,429	705	750				
5	277	155,489	705	750				
6	277	155,895	705	750				
0	278	158,437	704	750				
1	278	158,449	704	750				
2	278	158,521	704	750				
3	278	158,676	704	750				
4	278	158,616	704	750				
5	278	158,533	705	750				
6	278	158,449	704	750				
0	279	156,098	705	750				
1	279	155,751	705	750				
2	279	155,381	705	750				
3	279	155,465	705	750				
4	279	155,465	705	750				
5	279	155,513	705	750				
6	279	155,883	705	750				
0	280	158,628	704	750				
1	280	158,604	704	750				
2	280	158,294	704	750				
3	280	158,151	704	750				
4	280	157,208	705	750				
5	280	156,098	705	750				
6	280	157,184	704	750				
0	281	156,098	705	750				
1	281	155,656	705	750				
2	281	155,322	705	750				
3	281	155,477	705	750				
4	281	155,417	705	750				
5	281	155,513	705	750				
6	281	155,763	705	750				
0	282	158,557	704	750				
1	282	158,354	704	750				
2	282	156,491	705	750				
3	282	155,787	705	750				
4	282	155,501	705	750				
5	282	155,56	705	750				
6	282	156,074	705	750				
0	283	155,346	705	750				
1	283	155,417	705	750				
2	283	155,322	705	750				
3	283	155,453	705	750				
4	283	155,393	705	750				
5	283	155,501	705	750				
6	283	155,763	705	750				
0	284	155,286	705	750				
1	284	155,393	705	750				
2	284	155,31	705	750				
3	284	155,477	705	750				
4	284	155,417	705	750				
5	284	155,536	705	750				
6	284	155,847	705	750				
0	285	155,25	705	750				
1	285	155,274	705	750				
2	285	155,346	705	750				
3	285	155,62	705	750				
4	285	156,647	705	751				
5	285	158,64	705	751				
6	285	158,819	705	751				
0	286	155,25	705	750				
1	286	155,322	705	750				
2	286	155,716	705	750				
3	286	156,205	705	750				
4	286	157,852	705	751				
5	286	158,903	705	751				
6	286	158,796	705	751				
0	287	158,7	705	751				
1	287	158,545	706	751				
2	287	156,539	706	751				
3	287	155,727	706	751				
4	287	155,381	706	751				
5	287	155,62	706	751				
6	287	156,062	706	751				
0	288	158,7	706	752				
1	288	158,664	707	752				
2	288	157,327	707	752				
3	288	156,05	707	752				
4	288	155,381	707	752				
5	288	155,668	707	752				
6	288	156,229	707	752				
0	289	158,7	707	753				
1	289	158,7	707	753				
2	289	158,724	707	753				
3	289	158,784	707	753				
4	289	158,151	707	753				
5	289	156,312	708	753				
6	289	157,649	707	753				
0	290	155,381	708	753				
1	290	155,405	708	753				
2	290	155,787	708	753				
3	290	156,205	708	753				
4	290	157,411	708	754				
5	290	158,819	708	754				
6	290	158,855	708	754				
0	291	155,262	709	754				
1	291	155,298	709	754				
2	291	155,286	709	754				
3	291	155,56	709	754				
4	291	155,405	709	754				
5	291	155,751	709	754				
6	291	156,694	709	755				
0	292	157,829	709	755				
1	292	158,139	709	755				
2	292	158,402	709	754				
3	292	158,76	709	755				
4	292	158,676	709	755				
5	292	158,986	709	755				
6	292	158,76	709	755				
0	293	155,823	710	755				
1	293	155,369	710	755				
2	293	155,286	710	755				
3	293	155,596	710	755				
4	293	155,357	710	755				
5	293	155,763	710	755				
6	293	156,05	710	755				
0	294	155,25	710	755				
1	294	155,31	710	755				
2	294	155,274	710	755				
3	294	155,572	710	755				
4	294	155,369	710	755				
5	294	155,954	710	756				
6	294	157,661	710	756				
0	295	158,521	710	756				
1	295	156,133	711	756				
2	295	155,298	711	756				
3	295	155,739	711	756				
4	295	155,322	711	756				
5	295	155,787	711	756				
6	295	156,05	711	756				
0	296	158,7	711	757				
1	296	158,7	711	757				
2	296	158,7	711	757				
3	296	158,831	711	757				
4	296	158,7	711	757				
5	296	158,903	711	757				
6	296	158,569	711	757				
0	297	156,742	712	757				
1	297	156,456	712	757				
2	297	156,48	712	758				
3	297	157,256	712	758				
4	297	157,996	712	758				
5	297	159,034	712	758				
6	297	158,879	712	758				
0	298	158,7	712	758				
1	298	157,506	713	758				
2	298	155,489	713	758				
3	298	155,799	713	758				
4	298	155,322	713	758				
5	298	155,823	713	759				
6	298	156,098	713	758				
0	299	158,7	713	759				
1	299	158,7	713	759				
2	299	157,936	713	759				
3	299	157,053	713	759				
4	299	155,334	714	759				
5	299	155,883	714	760				
6	299	156,229	714	759				
